giocatore;rivincite_tentate;rivincite_riuscite;pct_dopo_sconfitta;pct_attesa_rivincite;effetto_rivincita;conferme_tentate;conferme_riuscite;pct_dopo_vittoria;pct_attesa_conferme;effetto_conferma
Chris Lewis Nzl;93;37;39.78;41.69;-1.90;67;42;62.69;59.00;3.68
Nicolas Mahut;100;33;33.00;31.61;1.39;73;35;47.95;44.29;3.66
Nicolas Kiefer;159;74;46.54;43.70;2.84;168;101;60.12;56.47;3.65
Jose Higueras;149;71;47.65;47.76;-0.11;202;149;73.76;70.12;3.64
Ramesh Krishnan;155;61;39.35;38.63;0.73;118;71;60.17;56.59;3.57
Kevin Curren;144;62;43.06;43.45;-0.39;165;106;64.24;60.68;3.56
Roberto Bautista Agut;114;52;45.61;44.08;1.54;170;121;71.18;67.65;3.53
Sam Querrey;192;86;44.79;42.46;2.33;190;115;60.53;57.10;3.43
Karol Kucera;139;69;49.64;45.33;4.31;125;71;56.80;53.37;3.43
Bohdan Ulihrach;130;53;40.77;37.75;3.02;111;59;53.15;49.75;3.40
Nicolas Lapentti;158;55;34.81;41.05;-6.24;141;80;56.74;53.34;3.39
Milos Raonic;116;58;50.00;49.79;0.21;193;142;73.58;70.18;3.39
Robert Lutz;219;94;42.92;42.50;0.42;254;165;64.96;61.59;3.37
Paul Mcnamee;109;40;36.70;37.91;-1.21;73;42;57.53;54.17;3.37
Gilles Simon;242;102;42.15;44.33;-2.18;300;191;63.67;60.30;3.37
Patrick Rafter;126;70;55.56;51.05;4.50;179;125;69.83;66.48;3.36
Bjorn Borg;100;74;74.00;65.41;8.59;389;338;86.89;83.56;3.33
Guy Forget;178;79;44.38;45.60;-1.22;174;109;62.64;59.32;3.32
Stan Smith;230;109;47.39;52.43;-5.04;513;393;76.61;73.30;3.31
Vincent Spadea;211;81;38.39;38.66;-0.27;146;74;50.68;47.45;3.23
Igor Andreev;131;48;36.64;42.86;-6.22;110;62;56.36;53.14;3.22
Pablo Andujar;105;40;38.10;34.12;3.98;58;26;44.83;41.62;3.21
Wayne Ferreira;208;97;46.63;48.47;-1.84;280;181;64.64;61.44;3.20
David Nalbandian;126;63;50.00;52.68;-2.68;189;131;69.31;66.15;3.17
