giocatore;rivincite_tentate;rivincite_riuscite;pct_dopo_sconfitta;pct_attesa_rivincite;effetto_rivincita;conferme_tentate;conferme_riuscite;pct_dopo_vittoria;pct_attesa_conferme;effetto_conferma
Brian Teacher;146;68;46.58;42.63;3.95;164;103;62.80;61.21;1.60
Jo Wilfried Tsonga;154;80;51.95;48.01;3.94;261;182;69.73;69.35;0.38
Kei Nishikori;126;67;53.17;49.25;3.93;225;161;71.56;70.65;0.91
Robin Soderling;119;64;53.78;49.86;3.93;154;108;70.13;63.96;6.17
Stan Wawrinka;216;108;50.00;46.12;3.88;310;213;68.71;68.07;0.64
Radek Stepanek;186;87;46.77;42.92;3.85;185;103;55.68;54.90;0.78
John Isner;179;92;51.40;47.58;3.82;254;166;65.35;64.63;0.73
Davide Sanguinetti;106;38;35.85;32.21;3.64;56;21;37.50;44.46;-6.96
Fabio Fognini;205;92;44.88;41.25;3.63;168;96;57.14;57.82;-0.68
Tom Okker;206;114;55.34;51.79;3.55;421;295;70.07;72.04;-1.97
Juan Gisbert;76;32;42.11;38.57;3.54;78;45;57.69;56.73;0.96
Sergi Bruguera;158;85;53.80;50.25;3.54;247;161;65.18;65.75;-0.56
Ryan Harrison;70;24;34.29;30.78;3.50;42;15;35.71;46.48;-10.77
Andy Murray;162;102;62.96;59.47;3.49;443;355;80.14;79.05;1.09
Mischa Zverev;81;28;34.57;31.08;3.49;58;25;43.10;42.66;0.44
Karim Alami;73;30;41.10;37.61;3.48;57;25;43.86;45.27;-1.41
Bill Scanlon;156;67;42.95;39.49;3.45;136;74;54.41;53.20;1.21
Gaston Gaudio;112;57;50.89;47.61;3.28;125;68;54.40;60.58;-6.18
Gene Mayer;99;46;46.46;43.21;3.26;135;100;74.07;72.74;1.34
Shuzo Matsuoka;65;24;36.92;33.77;3.15;40;17;42.50;53.11;-10.61
Marty Davis;76;30;39.47;36.33;3.15;50;24;48.00;49.63;-1.63
Andre Agassi;196;128;65.31;62.16;3.15;504;385;76.39;76.44;-0.05
Anders Jarryd;138;62;44.93;41.80;3.13;160;101;63.13;63.38;-0.26
Lukas Rosol;70;25;35.71;32.62;3.09;46;19;41.30;47.98;-6.68
Gilbert Schaller;52;25;48.08;45.01;3.07;47;26;55.32;52.78;2.54
Alexandr Dolgopolov;109;44;40.37;37.34;3.03;116;61;52.59;55.03;-2.44
