giocatore;rivincite_tentate;rivincite_riuscite;pct_dopo_sconfitta;pct_attesa_rivincite;effetto_rivincita;conferme_tentate;conferme_riuscite;pct_dopo_vittoria;pct_attesa_conferme;effetto_conferma
Novak Djokovic;154;110;71.43;67.12;4.31;649;555;85.52;84.40;1.12
Rafael Nadal;174;119;68.39;67.09;1.30;679;579;85.27;83.41;1.86
Roger Federer;224;138;61.61;64.89;-3.29;877;753;85.86;84.09;1.77
