giocatore;incontri;vittorie_grezze;scarto_grezzo;scarto_neutro
Novak Djokovic;47;93.62;6.30;3.23
Roger Federer;47;87.23;4.57;1.14
Rafael Nadal;25;72.00;-18.22;-10.49
