giocatore;incontri;vittorie_grezze;scarto_grezzo;scarto_neutro
Sam Querrey;27;70.37;23.21;14.75
Kevin Anderson;27;70.37;9.22;7.17
Marin Cilic;30;76.67;10.84;3.83
Milos Raonic;34;76.47;4.62;3.78
Novak Djokovic;47;93.62;6.30;3.23
Roger Federer;47;87.23;4.57;1.14
Tomas Berdych;25;72.00;0.74;0.23
Kei Nishikori;27;77.78;2.55;-0.94
Andy Murray;37;89.19;6.60;-1.43
Rafael Nadal;25;72.00;-18.22;-10.49
