giocatore;incontri;veloci;lenti;scarto_veloci;scarto_lenti;scarto_veloci_netto;scarto_lenti_netto
David Nalbandian;527;211;147;4.33;1.98;1.91;0.37
Bohdan Ulihrach;433;103;180;-1.49;1.88;3.52;-2.11
Gustavo Kuerten;500;119;174;-6.26;1.73;-1.13;-3.46
Scott Draper;225;44;50;-5.71;1.67;-7.34;6.15
Francisco Clavet;671;60;390;-14.13;1.64;-7.76;0.66
Grigor Dimitrov;508;309;56;3.03;1.54;0.24;3.86
Juan Ignacio Chela;555;122;214;-10.96;1.48;-2.65;-0.09
Jerome Golmard;258;67;69;5.34;1.43;-0.78;4.22
Fernando Verdasco;931;377;198;-3.35;1.39;-0.89;-1.94
Sebastien Grosjean;539;211;125;-2.17;1.38;-4.06;1.59
Igor Andreev;425;135;134;-3.59;1.32;-0.75;0.06
Alexandr Dolgopolov;392;194;63;0.13;1.14;-1.85;-0.50
Patrick Rafter;499;144;109;1.27;0.91;-1.65;3.03
Pablo Cuevas;384;114;96;-5.83;0.90;0.58;-6.36
Jiri Novak;554;175;177;3.10;0.90;4.81;-2.21
Andy Roddick;748;389;82;3.63;0.73;-1.03;2.85
Andrei Pavel;469;133;164;-6.50;0.45;-3.91;0.40
